id,name,strength,d4,d6,d8,d10,d12,d20,type,visibility,behavior
AN001,Пружина,weak,0,1,0,0,0,0,gravity,almost invisible,Перезаряджається при тригері; наносить шкоду при контакті та переносить у центр аномалії; займає площу 3х3
AN002,Пружина,normal,0,0,0,1,0,0,gravity,almost invisible,Перезаряджається при тригері; наносить шкоду при контакті та переносить у центр аномалії; займає площу 3х3
AN003,Пружина,strong,0,0,0,0,0,1,gravity,almost invisible,Перезаряджається при тригері; наносить шкоду при контакті та переносить у центр аномалії; займає площу 3х3
AN004,Пружина,charged,0,0,1,0,0,1,gravity,almost invisible,Перезаряджається при тригері; наносить шкоду при контакті та переносить у центр аномалії; займає площу 3х3
AN005,Карусель,weak,0,1,0,0,0,0,gravity,almost invisible,Перезаряджається при тригері; наносить шкоду при контакті та переносить у центр аномалії; займає площу 1х1 але діє в 3х3
AN006,Карусель,normal,0,0,0,0,0,1,gravity,almost invisible,Перезаряджається при тригері; наносить шкоду при контакті та переносить у центр аномалії; займає площу 1х1 але діє в 3х3
AN007,Карусель,strong,0,0,0,0,0,1,gravity,almost invisible,Перезаряджається при тригері; наносить шкоду при контакті та переносить у центр аномалії; займає площу 1х1 але діє в 3х3
AN008,Карусель,charged,0,0,1,0,0,1,gravity,almost invisible,Перезаряджається при тригері; наносить шкоду при контакті та переносить у центр аномалії; займає площу 1х1 але діє в 3х3
AN009,Подушка,weak,0,0,0,0,0,0,gravity,visible,Діє постійно; при контакті діє як такий собі батут
AN010,Подушка,normal,0,0,0,0,0,0,gravity,visible,Діє постійно; при контакті діє як такий собі батут
AN011,Подушка,strong,0,0,0,0,0,0,gravity,visible,Діє постійно; при контакті діє як такий собі батут
AN012,Подушка,charged,0,0,0,0,0,0,gravity,visible,Діє постійно; при контакті діє як такий собі батут
